name,description,field_type,mode
app_info,構造化された複数フィールドの集合。,RECORD,NULLABLE
app_info.firebase_app_id,一意に識別するためのID。,STRING,NULLABLE
app_info.id,一意に識別するためのID。,STRING,NULLABLE
app_info.install_source,データの発生元や流入元。,STRING,NULLABLE
app_info.install_store,文字列型のフィールド。,STRING,NULLABLE
app_info.version,文字列型のフィールド。,STRING,NULLABLE
batch_event_index,整数型のフィールド。,INTEGER,NULLABLE
batch_ordering_id,一意に識別するためのID。,INTEGER,NULLABLE
batch_page_id,一意に識別するためのID。,INTEGER,NULLABLE
collected_traffic_source,データの発生元や流入元。,RECORD,NULLABLE
collected_traffic_source.dclid,一意に識別するためのID。,STRING,NULLABLE
collected_traffic_source.gclid,一意に識別するためのID。,STRING,NULLABLE
collected_traffic_source.manual_campaign_id,一意に識別するためのID。,STRING,NULLABLE
collected_traffic_source.manual_campaign_name,名前やラベルを表すフィールド。,STRING,NULLABLE
collected_traffic_source.manual_content,データの発生元や流入元。,STRING,NULLABLE
collected_traffic_source.manual_creative_format,データの発生元や流入元。,STRING,NULLABLE
collected_traffic_source.manual_marketing_tactic,データの発生元や流入元。,STRING,NULLABLE
collected_traffic_source.manual_medium,データの発生元や流入元。,STRING,NULLABLE
collected_traffic_source.manual_source,データの発生元や流入元。,STRING,NULLABLE
collected_traffic_source.manual_source_platform,データの発生元や流入元。,STRING,NULLABLE
collected_traffic_source.manual_term,データの発生元や流入元。,STRING,NULLABLE
collected_traffic_source.srsltid,一意に識別するためのID。,STRING,NULLABLE
device,構造化された複数フィールドの集合。,RECORD,NULLABLE
device.advertising_id,一意に識別するためのID。,STRING,NULLABLE
device.browser,文字列型のフィールド。,STRING,NULLABLE
device.browser_version,文字列型のフィールド。,STRING,NULLABLE
device.category,文字列型のフィールド。,STRING,NULLABLE
device.is_limited_ad_tracking,文字列型のフィールド。,STRING,NULLABLE
device.language,文字列型のフィールド。,STRING,NULLABLE
device.mobile_brand_name,名前やラベルを表すフィールド。,STRING,NULLABLE
device.mobile_marketing_name,名前やラベルを表すフィールド。,STRING,NULLABLE
device.mobile_model_name,名前やラベルを表すフィールド。,STRING,NULLABLE
device.mobile_os_hardware_model,文字列型のフィールド。,STRING,NULLABLE
device.operating_system,文字列型のフィールド。,STRING,NULLABLE
device.operating_system_version,文字列型のフィールド。,STRING,NULLABLE
device.time_zone_offset_seconds,整数型のフィールド。,INTEGER,NULLABLE
device.vendor_id,一意に識別するためのID。,STRING,NULLABLE
device.web_info,構造化された複数フィールドの集合。,RECORD,NULLABLE
device.web_info.browser,文字列型のフィールド。,STRING,NULLABLE
device.web_info.browser_version,文字列型のフィールド。,STRING,NULLABLE
device.web_info.hostname,名前やラベルを表すフィールド。,STRING,NULLABLE
ecommerce,構造化された複数フィールドの集合。,RECORD,NULLABLE
ecommerce.purchase_revenue,収益の金額（通貨単位は文脈による）,FLOAT,NULLABLE
ecommerce.purchase_revenue_in_usd,収益の金額（通貨単位は文脈による）,FLOAT,NULLABLE
ecommerce.refund_value,小数型のフィールド。,FLOAT,NULLABLE
ecommerce.refund_value_in_usd,小数型のフィールド。,FLOAT,NULLABLE
ecommerce.shipping_value,小数型のフィールド。,FLOAT,NULLABLE
ecommerce.shipping_value_in_usd,小数型のフィールド。,FLOAT,NULLABLE
ecommerce.tax_value,小数型のフィールド。,FLOAT,NULLABLE
ecommerce.tax_value_in_usd,小数型のフィールド。,FLOAT,NULLABLE
ecommerce.total_item_quantity,整数型のフィールド。,INTEGER,NULLABLE
ecommerce.transaction_id,一意に識別するためのID。,STRING,NULLABLE
ecommerce.unique_items,整数型のフィールド。,INTEGER,NULLABLE
event_bundle_sequence_id,一意に識別するためのID。,INTEGER,NULLABLE
event_dimensions,構造化された複数フィールドの集合。,RECORD,NULLABLE
event_dimensions.hostname,名前やラベルを表すフィールド。,STRING,NULLABLE
event_previous_timestamp,UNIXマイクロ秒単位のタイムスタンプ。,INTEGER,NULLABLE
event_server_timestamp_offset,UNIXマイクロ秒単位のタイムスタンプ。,INTEGER,NULLABLE
event_value_in_usd,小数型のフィールド。,FLOAT,NULLABLE
geo,構造化された複数フィールドの集合。,RECORD,NULLABLE
is_active_user,真偽値（true/false）を表すフィールド。,BOOLEAN,NULLABLE
items,構造化された複数フィールドの集合。,RECORD,REPEATED
items.affiliation,文字列型のフィールド。,STRING,NULLABLE
items.coupon,文字列型のフィールド。,STRING,NULLABLE
items.creative_name,名前やラベルを表すフィールド。,STRING,NULLABLE
items.creative_slot,文字列型のフィールド。,STRING,NULLABLE
items.item_brand,文字列型のフィールド。,STRING,NULLABLE
items.item_category,文字列型のフィールド。,STRING,NULLABLE
items.item_category2,文字列型のフィールド。,STRING,NULLABLE
items.item_category3,文字列型のフィールド。,STRING,NULLABLE
items.item_category4,文字列型のフィールド。,STRING,NULLABLE
items.item_category5,文字列型のフィールド。,STRING,NULLABLE
items.item_id,一意に識別するためのID。,STRING,NULLABLE
items.item_list_id,一意に識別するためのID。,STRING,NULLABLE
items.item_list_index,文字列型のフィールド。,STRING,NULLABLE
items.item_list_name,名前やラベルを表すフィールド。,STRING,NULLABLE
items.item_name,名前やラベルを表すフィールド。,STRING,NULLABLE
items.item_params,構造化された複数フィールドの集合。,RECORD,REPEATED
items.item_params.key,文字列型のフィールド。,STRING,NULLABLE
items.item_params.value,構造化された複数フィールドの集合。,RECORD,NULLABLE
items.item_params.value.double_value,小数型のフィールド。,FLOAT,NULLABLE
items.item_params.value.float_value,小数型のフィールド。,FLOAT,NULLABLE
items.item_params.value.int_value,整数型のフィールド。,INTEGER,NULLABLE
items.item_params.value.string_value,文字列型のフィールド。,STRING,NULLABLE
items.item_refund,小数型のフィールド。,FLOAT,NULLABLE
items.item_refund_in_usd,小数型のフィールド。,FLOAT,NULLABLE
items.item_revenue,収益の金額（通貨単位は文脈による）,FLOAT,NULLABLE
items.item_revenue_in_usd,収益の金額（通貨単位は文脈による）,FLOAT,NULLABLE
items.item_variant,文字列型のフィールド。,STRING,NULLABLE
items.location_id,一意に識別するためのID。,STRING,NULLABLE
items.price,小数型のフィールド。,FLOAT,NULLABLE
items.price_in_usd,小数型のフィールド。,FLOAT,NULLABLE
items.promotion_id,一意に識別するためのID。,STRING,NULLABLE
items.promotion_name,名前やラベルを表すフィールド。,STRING,NULLABLE
items.quantity,整数型のフィールド。,INTEGER,NULLABLE
privacy_info,構造化された複数フィールドの集合。,RECORD,NULLABLE
privacy_info.ads_storage,文字列型のフィールド。,STRING,NULLABLE
privacy_info.analytics_storage,文字列型のフィールド。,STRING,NULLABLE
privacy_info.uses_transient_token,文字列型のフィールド。,STRING,NULLABLE
publisher,構造化された複数フィールドの集合。,RECORD,NULLABLE
publisher.ad_format,文字列型のフィールド。,STRING,NULLABLE
publisher.ad_revenue_in_usd,収益の金額（通貨単位は文脈による）,FLOAT,NULLABLE
publisher.ad_source_name,名前やラベルを表すフィールド。,STRING,NULLABLE
publisher.ad_unit_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click,データの発生元や流入元。,RECORD,NULLABLE
session_traffic_source_last_click.cm360_campaign,データの発生元や流入元。,RECORD,NULLABLE
session_traffic_source_last_click.cm360_campaign.account_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.account_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.advertiser_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.advertiser_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.campaign_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.campaign_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.creative_format,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.creative_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.creative_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.creative_type,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.creative_type_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.creative_version,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.medium,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.placement_cost_structure,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.placement_id,一意に識別するためのID。,STRING,NULLABLE
